Time,Open,High,Low,Last,Change,Volume
12/20/2018,0.008891,0.00902,0.008883,0.008985,9.40E-05,4167
12/19/2018,0.008886,0.008917999,0.008879,0.008891,5.00E-06,4126
12/18/2018,0.008862,0.008907,0.008862,0.008886,2.50E-05,4148
12/17/2018,0.008820999,0.008873,0.00881,0.008861,4.30E-05,3185
12/14/2018,0.008799,0.008831,0.008797,0.008818,1.60E-05,4381
12/13/2018,0.008823,0.008831,0.008793,0.008802,-2.80E-05,4305
12/12/2018,0.008816999,0.008836,0.008808999,0.00883,1.30E-05,4206
12/11/2018,0.008819999,0.008846,0.008812999,0.008816999,-6.00E-06,3919
12/10/2018,0.008883,0.008907,0.008822,0.008823,-4.90E-05,4318
12/7/2018,0.008873999,0.008881,0.008855,0.008872,-3.00E-06,4218
12/6/2018,0.008833,0.008905,0.008833,0.008874999,4.10E-05,4187
12/5/2018,0.008866999,0.008873999,0.008832,0.008834,-3.10E-05,4747
12/4/2018,0.008797,0.008879,0.008797,0.008865,6.50E-05,3950
12/3/2018,0.008785,0.008818,0.008785,0.0088,-9.00E-06,4586
11/30/2018,0.008811,0.008819999,0.008795,0.008808999,-3.00E-06,4286
11/29/2018,0.008794,0.008831,0.008794,0.008812,1.50E-05,4270
11/28/2018,0.008785999,0.00881,0.008769,0.008797,9.00E-06,4209
11/27/2018,0.008801,0.008815,0.008784,0.008788,-1.60E-05,4357
11/26/2018,0.008858,0.008858,0.008798,0.008804,-5.00E-05,4920
11/23/2018,0.008854,0.008873,0.00885,0.008854,2.00E-06,4202
11/22/2018,0.008843,0.008855999,0.008841,0.008851999,8.00E-06,4261
11/21/2018,0.008864,0.008874999,0.008838,0.008844,-2.50E-05,4929
11/20/2018,0.008885,0.008903,0.008864,0.008869,-1.60E-05,4072
11/19/2018,0.008866,0.008892,0.008858999,0.008885,2.40E-05,3492
11/16/2018,0.008798,0.008874999,0.008798,0.008861,5.90E-05,4422
11/15/2018,0.008799,0.008839,0.008794,0.008802,2.00E-06,4377
11/14/2018,0.008787,0.008823,0.008773,0.0088,1.50E-05,4328
11/13/2018,0.008780999,0.008797,0.008761,0.008785,1.00E-06,4533
11/12/2018,0.008788,0.008795,0.008758,0.008784,-2.00E-06,3769
11/9/2018,0.008764,0.008795,0.008764,0.008785999,1.70E-05,4336
11/8/2018,0.008802,0.008808999,0.008766,0.008769,-3.70E-05,5210
11/7/2018,0.008815,0.008851,0.008789,0.008806,-8.00E-06,6296
11/6/2018,0.008833,0.008839,0.008811,0.008814,-1.80E-05,4754
11/5/2018,0.008833,0.008841,0.008824999,0.008832,-1.00E-06,4140
11/2/2018,0.008870999,0.008882,0.008826,0.008833,-4.10E-05,4459
11/1/2018,0.008853,0.008878,0.00885,0.008873999,2.20E-05,4486
10/31/2018,0.008838,0.008859999,0.008819999,0.008851999,1.00E-05,4635
10/30/2018,0.008898,0.008901999,0.008842,0.008842,-5.70E-05,4432
10/29/2018,0.008936,0.008943,0.008884,0.008899,-3.70E-05,4571
10/26/2018,0.008892,0.008971,0.008892,0.008936,4.10E-05,4313
10/25/2018,0.008905,0.00894,0.008874999,0.008895,-1.30E-05,4822
10/24/2018,0.008894,0.008916999,0.008870999,0.008908,1.30E-05,4849
10/23/2018,0.008862,0.008927,0.008862,0.008895,3.20E-05,4205
10/22/2018,0.008887,0.008898,0.008858999,0.008862999,-2.30E-05,5014
10/19/2018,0.008911,0.008915,0.008879,0.008886,-2.80E-05,4984
10/18/2018,0.008872,0.008927,0.008872,0.008913999,3.80E-05,4417
10/17/2018,0.008907,0.008924,0.008876,0.008876,-3.10E-05,4866
10/16/2018,0.008946,0.008948,0.008903,0.008907,-4.00E-05,4891
10/15/2018,0.008912999,0.008955999,0.008912,0.008947,3.50E-05,4558
10/12/2018,0.008916,0.008934,0.00889,0.008912,-5.00E-06,3167
10/11/2018,0.008904,0.008936,0.008888,0.008916999,1.10E-05,5640
10/10/2018,0.008851999,0.008905999,0.008828999,0.008905999,5.30E-05,4791
10/9/2018,0.008828999,0.008855999,0.008820999,0.008853,2.20E-05,5246
10/8/2018,0.008787,0.008861,0.008777999,0.008831,3.80E-05,4660
10/5/2018,0.008779,0.008803,0.008766,0.008793,1.60E-05,4470
10/4/2018,0.00873,0.008795,0.00873,0.008776999,4.60E-05,4554
10/3/2018,0.008798,0.008806,0.008730999,0.008730999,-6.50E-05,5218
10/2/2018,0.008775,0.008806,0.008770999,0.008796,2.20E-05,4849
10/1/2018,0.00879,0.008792,0.008768,0.008773999,-2.10E-05,4829
9/28/2018,0.008818,0.008822,0.008795,0.008795,-2.30E-05,5072
9/27/2018,0.008868,0.008881,0.008815,0.008818,-5.20E-05,5894
9/26/2018,0.008849,0.008874999,0.00884,0.008869999,1.70E-05,4629
9/25/2018,0.008862999,0.008868,0.008851999,0.008853,-1.10E-05,4379
9/24/2018,0.008903,0.008903,0.008864,0.008864,-1.90E-05,4220
9/21/2018,0.008889,0.008892,0.008861,0.008883,-6.00E-06,4695
9/20/2018,0.008903,0.008920999,0.008882,0.008889,-1.60E-05,5274
9/19/2018,0.008897,0.008912999,0.008895,0.008905,5.00E-06,4758
9/18/2018,0.00894,0.008951999,0.008897,0.0089,-4.00E-05,5381
9/17/2018,0.008924,0.008944999,0.008920999,0.00894,1.70E-05,3958
9/14/2018,0.008933,0.008946,0.008916999,0.008923,-1.00E-05,5043
9/13/2018,0.008983999,0.008992,0.008929,0.008933,-5.50E-05,4407
9/12/2018,0.008958999,0.008996,0.008957,0.008988,2.80E-05,4256
9/11/2018,0.008997,0.009001,0.008958,0.008959999,-3.80E-05,4924
9/10/2018,0.009013,0.009017,0.00899,0.008998,-6.00E-06,5096
